session_date,contract,side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_dollars,cluster_low,cluster_high,cluster_size,cluster_label
2019-05-15,MNQM9,buy,2019-05-15 13:46:00+00:00,10484.0,2019-05-15 14:13:00+00:00,10524.0,target,40.0,80.0,10484.0,10484.25,3,TREND
2019-05-17,MNQM9,buy,2019-05-17 13:46:00+00:00,10652.25,2019-05-17 14:56:00+00:00,10692.25,target,40.0,80.0,10652.25,10654.75,3,TREND
2019-05-22,MNQM9,sell,2019-05-22 13:52:00+00:00,10533.0,2019-05-22 15:30:00+00:00,10541.75,force_close,-8.75,-17.5,10533.0,10536.5,3,FADE
2019-06-07,MNQM9,buy,2019-06-07 14:28:00+00:00,10484.0,2019-06-07 14:56:00+00:00,10524.0,target,40.0,80.0,10484.0,10484.25,3,TREND
2019-06-07,MNQM9,buy,2019-06-07 14:59:00+00:00,10533.0,2019-06-07 15:30:00+00:00,10510.0,force_close,-23.0,-46.0,10533.0,10536.5,3,TREND
2019-06-11,MNQM9,buy,2019-06-11 13:47:00+00:00,10654.75,2019-06-11 15:30:00+00:00,10622.75,force_close,-32.0,-64.0,10652.25,10654.75,3,FADE
2019-06-17,MNQU9,buy,2019-06-17 13:46:00+00:00,10617.0,2019-06-17 15:30:00+00:00,10623.5,force_close,6.5,13.0,10617.0,10617.75,3,TREND
2019-06-27,MNQU9,sell,2019-06-27 13:54:00+00:00,10762.0,2019-06-27 15:30:00+00:00,10733.5,force_close,28.5,57.0,10762.0,10765.5,3,FADE
2019-07-08,MNQU9,sell,2019-07-08 13:47:00+00:00,10844.25,2019-07-08 15:30:00+00:00,10862.25,force_close,-18.0,-36.0,10838.0,10844.25,5,TREND
2019-07-22,MNQU9,buy,2019-07-22 13:47:00+00:00,10963.75,2019-07-22 15:30:00+00:00,10961.25,force_close,-2.5,-5.0,10963.75,10965.25,3,TREND
2019-07-23,MNQU9,sell,2019-07-23 13:46:00+00:00,11008.5,2019-07-23 15:30:00+00:00,10999.75,force_close,8.75,17.5,11003.5,11008.5,3,TREND
2019-07-25,MNQU9,sell,2019-07-25 13:46:00+00:00,11026.0,2019-07-25 15:30:00+00:00,11025.75,force_close,0.25,0.5,11025.75,11026.0,3,TREND
2019-07-29,MNQU9,sell,2019-07-29 13:50:00+00:00,11049.25,2019-07-29 15:30:00+00:00,11047.25,force_close,2.0,4.0,11048.0,11049.25,3,TREND
2019-07-30,MNQU9,sell,2019-07-30 13:46:00+00:00,11026.0,2019-07-30 15:30:00+00:00,11032.0,force_close,-6.0,-12.0,11025.75,11026.0,3,TREND
2019-07-31,MNQU9,sell,2019-07-31 13:46:00+00:00,11038.25,2019-07-31 15:30:00+00:00,11047.25,force_close,-9.0,-18.0,11030.5,11038.25,6,TREND
2019-08-01,MNQU9,buy,2019-08-01 13:48:00+00:00,10988.25,2019-08-01 14:27:00+00:00,11028.25,target,40.0,80.0,10988.25,10997.0,5,TREND
2019-08-01,MNQU9,buy,2019-08-01 14:28:00+00:00,11030.5,2019-08-01 15:02:00+00:00,11070.5,target,40.0,80.0,11030.5,11038.25,6,TREND
