session_date,v2_daily_pnl,v2_cumulative,v2_peak,v2_drawdown,base_daily_pnl,base_cumulative
2019-05-15,60.0,60.0,60.0,0.0,-60.0,-60.0
2019-05-17,-60.0,0.0,60.0,-60.0,60.0,0.0
2019-05-20,0.0,0.0,60.0,-60.0,-60.0,-60.0
2019-05-22,-17.5,-17.5,60.0,-77.5,-17.5,-77.5
2019-06-07,14.0,-3.5,60.0,-63.5,-14.0,-91.5
2019-06-11,-60.0,-63.5,60.0,-123.5,-60.0,-151.5
2019-06-17,13.0,-50.5,60.0,-110.5,-13.0,-164.5
2019-06-24,0.0,-50.5,60.0,-110.5,10.5,-154.0
2019-06-27,60.0,9.5,60.0,-50.5,60.0,-94.0
2019-07-08,-36.0,-26.5,60.0,-86.5,36.0,-58.0
2019-07-09,0.0,-26.5,60.0,-86.5,-60.0,-118.0
2019-07-22,-5.0,-31.5,60.0,-91.5,5.0,-113.0
2019-07-23,60.0,28.5,60.0,-31.5,-60.0,-173.0
2019-07-25,0.5,29.0,60.0,-31.0,-0.5,-173.5
2019-07-29,17.5,46.5,60.0,-13.5,-17.5,-191.0
2019-07-30,-12.0,34.5,60.0,-25.5,12.0,-179.0
2019-07-31,-18.0,16.5,60.0,-43.5,18.0,-161.0
2019-08-01,237.5,254.0,254.0,0.0,-237.5,-398.5
2019-08-02,-60.0,194.0,254.0,-60.0,-60.0,-458.5
2019-08-05,0.0,194.0,254.0,-60.0,60.0,-398.5
2019-08-06,-60.0,134.0,254.0,-120.0,120.0,-278.5
2019-08-07,0.0,134.0,254.0,-120.0,-180.0,-458.5
2019-08-08,60.0,194.0,254.0,-60.0,0.0,-458.5
2019-08-09,-60.0,134.0,254.0,-120.0,120.0,-338.5
2019-08-12,60.0,194.0,254.0,-60.0,158.5,-180.0
2019-08-13,0.0,194.0,254.0,-60.0,0.0,-180.0
2019-08-14,0.0,194.0,254.0,-60.0,49.0,-131.0
2019-08-15,0.0,194.0,254.0,-60.0,31.0,-100.0
2019-08-16,-97.5,96.5,254.0,-157.5,-82.5,-182.5
2019-08-19,26.0,122.5,254.0,-131.5,26.0,-156.5
2019-08-20,-20.0,102.5,254.0,-151.5,-20.0,-176.5
2019-08-22,60.0,162.5,254.0,-91.5,-180.0,-356.5
2019-08-23,19.5,182.0,254.0,-72.0,-79.5,-436.0
2019-08-26,60.0,242.0,254.0,-12.0,60.0,-376.0
2019-08-27,88.5,330.5,330.5,0.0,-88.5,-464.5
2019-08-28,0.0,330.5,330.5,0.0,-136.0,-600.5
2019-08-29,-60.0,270.5,330.5,-60.0,133.5,-467.0
2019-08-30,60.0,330.5,330.5,0.0,-240.0,-707.0
2019-09-03,60.0,390.5,390.5,0.0,-60.0,-767.0
2019-09-04,29.0,419.5,419.5,0.0,91.0,-676.0
2019-09-10,-15.5,404.0,419.5,-15.5,15.5,-660.5
2019-09-11,0.0,404.0,419.5,-15.5,-33.5,-694.0
2019-09-12,-60.0,344.0,419.5,-75.5,0.0,-694.0
2019-09-13,-8.5,335.5,419.5,-84.0,8.5,-685.5
2019-09-16,22.5,358.0,419.5,-61.5,22.5,-663.0
2019-09-17,23.0,381.0,419.5,-38.5,23.0,-640.0
2019-09-19,-10.0,371.0,419.5,-48.5,10.0,-630.0
2019-09-20,0.0,371.0,419.5,-48.5,-44.5,-674.5
2019-09-23,32.0,403.0,419.5,-16.5,32.0,-642.5
2019-09-24,114.5,517.5,517.5,0.0,5.5,-637.0
2019-09-25,0.0,517.5,517.5,0.0,-209.5,-846.5
2019-09-26,-60.0,457.5,517.5,-60.0,67.0,-779.5
2019-09-27,-52.5,405.0,517.5,-112.5,-52.5,-832.0
2019-09-30,60.0,465.0,517.5,-52.5,26.5,-805.5
2019-10-01,157.5,622.5,622.5,0.0,-157.5,-963.0
2019-10-02,120.0,742.5,742.5,0.0,-146.5,-1109.5
2019-10-03,58.0,800.5,800.5,0.0,122.0,-987.5
2019-10-04,-159.5,641.0,800.5,-159.5,-39.5,-1027.0
2019-10-07,0.0,641.0,800.5,-159.5,-61.0,-1088.0
2019-10-08,-51.5,589.5,800.5,-211.0,-68.5,-1156.5
2019-10-09,60.0,649.5,800.5,-151.0,60.0,-1096.5
2019-10-10,0.0,649.5,800.5,-151.0,-194.0,-1290.5
2019-10-11,89.0,738.5,800.5,-62.0,-89.0,-1379.5
2019-10-14,-40.0,698.5,800.5,-102.0,-59.5,-1439.0
2019-10-15,59.5,758.0,800.5,-42.5,-59.5,-1498.5
2019-10-16,10.5,768.5,800.5,-32.0,10.5,-1488.0
2019-10-17,73.5,842.0,842.0,0.0,46.5,-1441.5
2019-10-18,-3.0,839.0,842.0,-3.0,-32.5,-1474.0
2019-10-21,52.0,891.0,891.0,0.0,52.0,-1422.0
2019-10-22,-21.0,870.0,891.0,-21.0,-122.0,-1544.0
2019-10-23,0.0,870.0,891.0,-21.0,108.5,-1435.5
2019-10-24,6.5,876.5,891.0,-14.5,41.0,-1394.5
2019-10-25,300.0,1176.5,1176.5,0.0,-300.0,-1694.5
2019-11-08,-60.0,1116.5,1176.5,-60.0,60.0,-1634.5
2019-11-11,0.0,1116.5,1176.5,-60.0,-3.5,-1638.0
2019-11-14,20.0,1136.5,1176.5,-40.0,20.0,-1618.0
2019-11-22,-45.5,1091.0,1176.5,-85.5,-60.0,-1678.0
2019-12-02,60.0,1151.0,1176.5,-25.5,-60.0,-1738.0
2019-12-03,0.0,1151.0,1176.5,-25.5,60.0,-1678.0
2019-12-04,4.0,1155.0,1176.5,-21.5,4.0,-1674.0
2019-12-10,0.0,1155.0,1176.5,-21.5,-59.0,-1733.0
2019-12-11,0.0,1155.0,1176.5,-21.5,1.5,-1731.5
2020-01-28,0.0,1155.0,1176.5,-21.5,60.0,-1671.5
2020-01-30,-45.0,1110.0,1176.5,-66.5,45.0,-1626.5
2020-01-31,-32.5,1077.5,1176.5,-99.0,-32.5,-1659.0
2020-02-13,0.0,1077.5,1176.5,-99.0,-60.0,-1719.0
2020-02-25,-120.0,957.5,1176.5,-219.0,120.0,-1599.0
2020-02-26,0.0,957.5,1176.5,-219.0,-60.0,-1659.0
2020-02-27,-60.0,897.5,1176.5,-279.0,60.0,-1599.0
2020-02-28,0.0,897.5,1176.5,-279.0,85.5,-1513.5
2020-03-02,0.0,897.5,1176.5,-279.0,120.0,-1393.5
2020-03-03,-120.0,777.5,1176.5,-399.0,120.0,-1273.5
2020-03-04,60.0,837.5,1176.5,-339.0,60.0,-1213.5
2020-03-05,60.0,897.5,1176.5,-279.0,60.0,-1153.5
2020-03-06,0.0,897.5,1176.5,-279.0,-180.0,-1333.5
2020-03-10,113.5,1011.0,1176.5,-165.5,6.5,-1327.0
2020-03-11,0.0,1011.0,1176.5,-165.5,60.0,-1267.0
2020-03-13,180.0,1191.0,1191.0,0.0,60.0,-1207.0
2020-03-25,-60.0,1131.0,1191.0,-60.0,-60.0,-1267.0
2020-03-26,0.0,1131.0,1191.0,-60.0,-12.0,-1279.0
2020-03-27,0.0,1131.0,1191.0,-60.0,0.0,-1279.0
2020-03-30,-120.0,1011.0,1191.0,-180.0,-459.5,-1738.5
2020-03-31,102.0,1113.0,1191.0,-78.0,-318.0,-2056.5
2020-04-01,60.0,1173.0,1191.0,-18.0,0.0,-2056.5
2020-04-02,-60.0,1113.0,1191.0,-78.0,60.0,-1996.5
2020-04-03,-120.0,993.0,1191.0,-198.0,-240.0,-2236.5
2020-04-06,48.5,1041.5,1191.0,-149.5,-168.5,-2405.0
2020-04-07,-120.0,921.5,1191.0,-269.5,-60.0,-2465.0
2020-04-08,-60.0,861.5,1191.0,-329.5,-120.0,-2585.0
2020-04-09,60.0,921.5,1191.0,-269.5,-300.0,-2885.0
2020-04-13,60.0,981.5,1191.0,-209.5,60.0,-2825.0
2020-04-14,-60.0,921.5,1191.0,-269.5,60.0,-2765.0
2020-04-16,0.0,921.5,1191.0,-269.5,-60.0,-2825.0
2020-04-17,0.0,921.5,1191.0,-269.5,-48.5,-2873.5
2020-04-20,60.0,981.5,1191.0,-209.5,60.0,-2813.5
2020-04-21,180.0,1161.5,1191.0,-29.5,-120.0,-2933.5
2020-04-22,60.0,1221.5,1221.5,0.0,120.0,-2813.5
2020-04-23,-10.5,1211.0,1221.5,-10.5,49.5,-2764.0
2020-04-24,0.0,1211.0,1221.5,-10.5,60.0,-2704.0
2020-04-27,0.0,1211.0,1221.5,-10.5,60.0,-2644.0
2020-04-28,60.0,1271.0,1271.0,0.0,-60.0,-2704.0
2020-04-29,-60.0,1211.0,1271.0,-60.0,-60.0,-2764.0
2020-04-30,0.0,1211.0,1271.0,-60.0,60.0,-2704.0
2020-05-01,0.0,1211.0,1271.0,-60.0,60.0,-2644.0
2020-05-04,0.0,1211.0,1271.0,-60.0,0.0,-2644.0
2020-05-06,0.0,1211.0,1271.0,-60.0,0.0,-2644.0
2020-05-07,0.0,1211.0,1271.0,-60.0,60.0,-2584.0
2020-05-08,-19.0,1192.0,1271.0,-79.0,-19.0,-2603.0
2020-05-13,-120.0,1072.0,1271.0,-199.0,-240.0,-2843.0
2020-05-14,0.0,1072.0,1271.0,-199.0,60.0,-2783.0
2020-05-15,60.0,1132.0,1271.0,-139.0,60.0,-2723.0
2020-05-22,0.0,1132.0,1271.0,-139.0,-60.0,-2783.0
2020-06-01,60.0,1192.0,1271.0,-79.0,60.0,-2723.0
2020-06-02,-60.0,1132.0,1271.0,-139.0,60.0,-2663.0
2020-06-12,0.0,1132.0,1271.0,-139.0,0.0,-2663.0
2020-06-15,0.0,1132.0,1271.0,-139.0,-60.0,-2723.0
2020-06-18,60.0,1192.0,1271.0,-79.0,60.0,-2663.0
2020-06-25,60.0,1252.0,1271.0,-19.0,-60.0,-2723.0
2020-06-26,60.0,1312.0,1312.0,0.0,-60.0,-2783.0
2020-06-30,60.0,1372.0,1372.0,0.0,-60.0,-2843.0
2020-07-29,0.0,1372.0,1372.0,0.0,60.0,-2783.0
2020-07-30,60.0,1432.0,1432.0,0.0,0.0,-2783.0
2020-08-12,60.0,1492.0,1492.0,0.0,-60.0,-2843.0
2020-09-09,0.0,1492.0,1492.0,0.0,60.0,-2783.0
2020-09-11,-60.0,1432.0,1492.0,-60.0,-60.0,-2843.0
2020-09-15,60.0,1492.0,1492.0,0.0,60.0,-2783.0
2020-09-16,60.0,1552.0,1552.0,0.0,60.0,-2723.0
2020-09-17,-60.0,1492.0,1552.0,-60.0,-60.0,-2783.0
2020-09-18,0.0,1492.0,1552.0,-60.0,120.0,-2663.0
2020-09-22,0.0,1492.0,1552.0,-60.0,60.0,-2603.0
2020-09-25,0.0,1492.0,1552.0,-60.0,-120.0,-2723.0
2020-09-30,60.0,1552.0,1552.0,0.0,-60.0,-2783.0
2020-10-02,-60.0,1492.0,1552.0,-60.0,60.0,-2723.0
2020-10-06,0.0,1492.0,1552.0,-60.0,0.0,-2723.0
2020-10-22,-60.0,1432.0,1552.0,-120.0,-60.0,-2783.0
2020-10-26,-18.5,1413.5,1552.0,-138.5,18.5,-2764.5
2020-10-27,0.0,1413.5,1552.0,-138.5,60.0,-2704.5
2020-10-28,60.0,1473.5,1552.0,-78.5,-60.0,-2764.5
2020-10-29,-60.0,1413.5,1552.0,-138.5,-50.0,-2814.5
2020-10-30,-60.0,1353.5,1552.0,-198.5,60.0,-2754.5
2020-11-02,0.0,1353.5,1552.0,-198.5,120.0,-2634.5
2020-11-03,-60.0,1293.5,1552.0,-258.5,-60.0,-2694.5
2020-11-04,-60.0,1233.5,1552.0,-318.5,0.0,-2694.5
2020-11-10,60.0,1293.5,1552.0,-258.5,60.0,-2634.5
2020-11-18,0.0,1293.5,1552.0,-258.5,-60.0,-2694.5
2020-11-19,0.0,1293.5,1552.0,-258.5,-9.0,-2703.5
2020-11-20,60.0,1353.5,1552.0,-198.5,120.0,-2583.5
2020-11-23,0.0,1353.5,1552.0,-198.5,0.0,-2583.5
2020-11-24,0.0,1353.5,1552.0,-198.5,-60.0,-2643.5
2020-11-30,-60.0,1293.5,1552.0,-258.5,-60.0,-2703.5
2020-12-15,60.0,1353.5,1552.0,-198.5,60.0,-2643.5
2020-12-21,0.0,1353.5,1552.0,-198.5,-60.0,-2703.5
2021-01-04,60.0,1413.5,1552.0,-138.5,-60.0,-2763.5
2021-01-06,-60.0,1353.5,1552.0,-198.5,-60.0,-2823.5
2021-01-07,60.0,1413.5,1552.0,-138.5,-60.0,-2883.5
2021-01-12,0.0,1413.5,1552.0,-138.5,60.0,-2823.5
2021-01-15,0.0,1413.5,1552.0,-138.5,-60.0,-2883.5
2021-01-19,0.0,1413.5,1552.0,-138.5,60.0,-2823.5
2021-02-19,-60.0,1353.5,1552.0,-198.5,60.0,-2763.5
2021-02-23,60.0,1413.5,1552.0,-138.5,-60.0,-2823.5
2021-02-26,-60.0,1353.5,1552.0,-198.5,0.0,-2823.5
2021-03-03,0.0,1353.5,1552.0,-198.5,0.0,-2823.5
2021-03-04,0.0,1353.5,1552.0,-198.5,180.0,-2643.5
2021-03-05,0.0,1353.5,1552.0,-198.5,34.5,-2609.0
2021-03-08,-60.0,1293.5,1552.0,-258.5,-60.0,-2669.0
2021-03-09,-60.0,1233.5,1552.0,-318.5,-120.0,-2789.0
2021-03-10,0.0,1233.5,1552.0,-318.5,-60.0,-2849.0
2021-03-11,120.0,1353.5,1552.0,-198.5,120.0,-2729.0
2021-03-12,0.0,1353.5,1552.0,-198.5,60.0,-2669.0
2021-03-15,60.0,1413.5,1552.0,-138.5,0.0,-2669.0
2021-03-18,-60.0,1353.5,1552.0,-198.5,0.0,-2669.0
2021-03-19,0.0,1353.5,1552.0,-198.5,60.0,-2609.0
2021-03-24,0.0,1353.5,1552.0,-198.5,0.0,-2609.0
2021-03-25,60.0,1413.5,1552.0,-138.5,120.0,-2489.0
2021-03-26,60.0,1473.5,1552.0,-78.5,60.0,-2429.0
2021-03-29,60.0,1533.5,1552.0,-18.5,-180.0,-2609.0
2021-03-30,0.0,1533.5,1552.0,-18.5,136.0,-2473.0
2021-04-06,0.0,1533.5,1552.0,-18.5,6.5,-2466.5
2021-04-20,-60.0,1473.5,1552.0,-78.5,-60.0,-2526.5
2021-04-21,0.0,1473.5,1552.0,-78.5,6.0,-2520.5
2021-04-23,0.0,1473.5,1552.0,-78.5,-60.0,-2580.5
