session_date,or_low,or_high,pool_min,pool_max,regime,n_clusters_C,n_candidates_C,zero_candidate,nearest_dist,within_30pts,within_100pts
2020-02-12,9579.0,9603.75,7032.0,9581.75,OR_IN_POOL,58,0,True,204.25,False,False
2020-02-13,9539.25,9578.5,7032.0,9603.75,OR_IN_POOL,59,0,True,1.875,True,True
2020-02-14,9608.25,9640.25,7032.0,9603.75,OR_ABOVE_POOL,60,0,True,28.5,True,True
2020-02-17,9656.5,9664.5,7032.0,9640.25,OR_ABOVE_POOL,61,0,True,50.5,False,True
2020-02-18,9575.0,9616.25,7032.0,9664.5,OR_IN_POOL,61,2,False,0.0,True,True
2020-02-19,9681.5,9711.5,7032.0,9664.5,OR_ABOVE_POOL,61,0,True,75.5,False,True
2020-02-20,9686.25,9719.0,7032.0,9711.5,OR_IN_POOL,61,0,True,80.25,False,True
2020-02-21,9526.5,9604.75,7032.0,9719.0,OR_IN_POOL,61,2,False,0.0,True,True
2020-02-24,9041.0,9180.25,7032.0,9719.0,OR_IN_POOL,61,6,False,0.0,True,True
2020-02-25,9120.0,9190.75,7032.0,9719.0,OR_IN_POOL,61,4,False,0.0,True,True
2020-02-26,8880.0,9015.5,7032.0,9719.0,OR_IN_POOL,60,1,False,0.0,True,True
2020-02-27,8631.25,8722.5,7032.0,9719.0,OR_IN_POOL,62,2,False,0.0,True,True
2020-02-28,8124.25,8322.75,7032.0,9719.0,OR_IN_POOL,61,7,False,0.0,True,True
2020-03-02,8484.75,8596.5,7032.0,9719.0,OR_IN_POOL,59,0,True,0.75,True,True
2020-03-03,8801.0,8904.5,7032.0,9719.0,OR_IN_POOL,59,4,False,0.0,True,True
2020-03-04,8687.25,8783.0,7032.0,9719.0,OR_IN_POOL,59,4,False,0.0,True,True
2020-03-05,8701.75,8782.25,7032.0,9719.0,OR_IN_POOL,58,3,False,0.0,True,True
2020-03-06,8377.75,8462.0,7032.0,9719.0,OR_IN_POOL,57,1,False,0.0,True,True
2020-03-09,7801.0,8022.25,7032.0,9719.0,OR_IN_POOL,56,3,False,0.0,True,True
2020-03-10,8138.25,8244.75,7032.0,9719.0,OR_IN_POOL,57,4,False,0.0,True,True
2020-03-11,8127.0,8217.25,7032.0,9719.0,OR_IN_POOL,58,3,False,0.0,True,True
2020-03-12,7441.5,7524.75,7032.0,9719.0,OR_IN_POOL,57,4,False,0.0,True,True
2020-03-13,7487.25,7721.75,7205.5,9719.0,OR_IN_POOL,56,9,False,0.0,True,True
2020-03-16,7381.25,7381.25,7219.0,9719.0,OR_IN_POOL,54,0,True,81.1875,False,True
2020-03-17,7015.0,7235.75,7311.0,9719.0,OR_BELOW_POOL,55,0,True,145.5,False,False
2020-03-18,6944.0,7183.5,7015.0,9719.0,OR_IN_POOL,55,0,True,197.75,False,False
2020-03-19,7010.5,7193.75,6944.0,9719.0,OR_IN_POOL,55,0,True,187.5,False,False
2020-03-20,7310.25,7470.0,6944.0,9719.0,OR_IN_POOL,55,2,False,0.0,True,True
2020-03-23,6834.25,7010.25,6944.0,9719.0,OR_IN_POOL,55,0,True,2.5,True,True
2020-03-24,7327.5,7437.0,6834.25,9719.0,OR_IN_POOL,55,1,False,0.0,True,True
2020-03-25,7484.5,7665.0,6834.25,9719.0,OR_IN_POOL,56,7,False,0.0,True,True
2020-03-26,7514.25,7638.0,6834.25,9719.0,OR_IN_POOL,56,5,False,0.0,True,True
2020-03-27,7586.75,7693.0,6834.25,9719.0,OR_IN_POOL,56,4,False,0.0,True,True
2020-03-30,7630.0,7712.5,6834.25,9719.0,OR_IN_POOL,56,3,False,0.0,True,True
2020-03-31,7818.25,7875.25,6834.25,9719.0,OR_IN_POOL,56,1,False,0.0,True,True
2020-04-01,7559.25,7631.75,6834.25,9719.0,OR_IN_POOL,56,2,False,0.0,True,True
2020-04-02,7416.75,7521.0,6834.25,9719.0,OR_IN_POOL,57,3,False,0.0,True,True
2020-04-03,7570.75,7660.5,6834.25,9719.0,OR_IN_POOL,58,4,False,0.0,True,True
2020-04-06,7750.25,7811.5,6834.25,9719.0,OR_IN_POOL,57,1,False,0.0,True,True
2020-04-07,8201.5,8298.75,6834.25,9719.0,OR_IN_POOL,57,4,False,0.0,True,True
2020-04-08,8100.75,8154.75,6834.25,9719.0,OR_IN_POOL,57,2,False,0.0,True,True
2020-04-09,8237.5,8327.0,6834.25,9719.0,OR_IN_POOL,58,3,False,0.0,True,True
2020-04-13,8176.5,8244.0,6834.25,9719.0,OR_IN_POOL,59,3,False,0.0,True,True
2020-04-14,8457.0,8539.0,6834.25,9719.0,OR_IN_POOL,59,1,False,0.0,True,True
2020-04-15,8499.0,8566.25,6834.25,9719.0,OR_IN_POOL,60,0,True,30.75,False,True
2020-04-16,8646.5,8697.5,6834.25,9719.0,OR_IN_POOL,63,1,False,0.0,True,True
2020-04-17,8764.0,8871.5,6834.25,9719.0,OR_IN_POOL,62,4,False,0.0,True,True
2020-04-20,8729.5,8784.5,6834.25,9719.0,OR_IN_POOL,62,2,False,0.0,True,True
2020-04-21,8538.25,8651.75,6834.25,9719.0,OR_IN_POOL,62,3,False,0.0,True,True
2020-04-22,8541.5,8598.0,6834.25,9719.0,OR_IN_POOL,64,2,False,0.0,True,True
2020-04-23,8661.75,8744.0,6834.25,9719.0,OR_IN_POOL,64,3,False,0.0,True,True
2020-04-24,8616.0,8667.25,6834.25,9719.0,OR_IN_POOL,64,2,False,0.0,True,True
2020-04-27,8819.5,8859.25,6834.25,9719.0,OR_IN_POOL,65,2,False,0.0,True,True
2020-04-28,8850.25,8905.25,6834.25,9719.0,OR_IN_POOL,65,2,False,0.0,True,True
2020-04-29,8816.0,8869.0,6834.25,9719.0,OR_IN_POOL,66,3,False,0.0,True,True
