session_date,side,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_points,pnl_dollars
2020-02-18,long,2020-02-18 09:45:00-05:00,9582.75,9542.75,9622.75,2020-02-18 09:59:00-05:00,9622.75,target,39.5,78.0
2020-02-21,short,2020-02-21 09:45:00-05:00,9577.5,9617.5,9537.5,2020-02-21 09:46:00-05:00,9537.5,target,39.5,78.0
2020-02-24,long,2020-02-24 09:45:00-05:00,9045.5,9005.5,9085.5,2020-02-24 09:46:00-05:00,9085.5,target,39.5,78.0
2020-02-26,short,2020-02-26 09:45:00-05:00,8997.5,9037.5,8957.5,2020-02-26 09:51:00-05:00,8957.5,target,39.5,78.0
2020-02-28,short,2020-02-28 09:45:00-05:00,8310.75,8350.75,8270.75,2020-02-28 09:46:00-05:00,8270.75,target,39.5,78.0
2020-03-04,short,2020-03-04 09:45:00-05:00,8721.5,8761.5,8681.5,2020-03-04 09:54:00-05:00,8681.5,target,39.5,78.0
2020-03-05,long,2020-03-05 09:45:00-05:00,8729.5,8689.5,8769.5,2020-03-05 09:46:00-05:00,8769.5,target,39.5,78.0
2020-03-06,long,2020-03-06 09:45:00-05:00,8389.0,8349.0,8429.0,2020-03-06 09:46:00-05:00,8429.0,target,39.5,78.0
2020-03-09,long,2020-03-09 09:49:00-04:00,7815.25,7775.25,7855.25,2020-03-09 09:50:00-04:00,7855.25,target,39.5,78.0
2020-03-10,short,2020-03-10 09:45:00-04:00,8230.25,8270.25,8190.25,2020-03-10 09:46:00-04:00,8190.25,target,39.5,78.0
2020-03-11,short,2020-03-11 09:45:00-04:00,8205.0,8245.0,8165.0,2020-03-11 09:46:00-04:00,8165.0,target,39.5,78.0
2020-03-13,long,2020-03-13 09:45:00-04:00,7557.0,7517.0,7597.0,2020-03-13 09:46:00-04:00,7517.0,stop,-40.5,-82.0
2020-03-25,short,2020-03-25 09:45:00-04:00,7637.75,7677.75,7597.75,2020-03-25 09:46:00-04:00,7597.75,target,39.5,78.0
2020-03-26,short,2020-03-26 09:45:00-04:00,7624.25,7664.25,7584.25,2020-03-26 09:46:00-04:00,7584.25,target,39.5,78.0
2020-03-27,short,2020-03-27 09:45:00-04:00,7679.5,7719.5,7639.5,2020-03-27 09:46:00-04:00,7639.5,target,39.5,78.0
2020-03-30,short,2020-03-30 09:45:00-04:00,7696.5,7736.5,7656.5,2020-03-30 09:46:00-04:00,7656.5,target,39.5,78.0
2020-03-31,short,2020-03-31 09:45:00-04:00,7861.75,7901.75,7821.75,2020-03-31 09:47:00-04:00,7821.75,target,39.5,78.0
2020-04-01,short,2020-04-01 09:45:00-04:00,7626.5,7666.5,7586.5,2020-04-01 09:46:00-04:00,7586.5,target,39.5,78.0
2020-04-02,short,2020-04-02 09:45:00-04:00,7483.5,7523.5,7443.5,2020-04-02 09:46:00-04:00,7443.5,target,39.5,78.0
