session_date,side,entry_ts,trigger_price,entry_price,gap_pts,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_points,pnl_dollars
2020-02-18,long,2020-02-18 09:45:00-05:00,9582.75,9602.75,20.0,9562.75,9642.75,2020-02-18 11:30:00-05:00,9596.0,time,-7.25,-15.5
2020-02-21,short,2020-02-21 09:45:00-05:00,9577.5,9539.75,37.75,9579.75,9499.75,2020-02-21 09:49:00-05:00,9499.75,target,39.5,78.0
2020-02-24,long,2020-02-24 09:45:00-05:00,9045.5,9177.5,132.0,9137.5,9217.5,2020-02-24 10:31:00-05:00,9137.5,stop,-40.5,-82.0
2020-02-26,short,2020-02-26 09:45:00-05:00,8997.5,8997.5,0.0,9037.5,8957.5,2020-02-26 09:51:00-05:00,8957.5,target,39.5,78.0
2020-02-28,short,2020-02-28 09:45:00-05:00,8310.75,8234.75,76.0,8274.75,8194.75,2020-02-28 09:48:00-05:00,8274.75,stop,-40.5,-82.0
2020-03-04,short,2020-03-04 09:45:00-05:00,8721.5,8721.0,0.5,8761.0,8681.0,2020-03-04 09:54:00-05:00,8681.0,target,39.5,78.0
2020-03-05,long,2020-03-05 09:45:00-05:00,8729.5,8768.0,38.5,8728.0,8808.0,2020-03-05 09:52:00-05:00,8728.0,stop,-40.5,-82.0
2020-03-06,long,2020-03-06 09:45:00-05:00,8389.0,8434.5,45.5,8394.5,8474.5,2020-03-06 09:49:00-05:00,8394.5,stop,-40.5,-82.0
2020-03-09,long,2020-03-09 09:49:00-04:00,7815.25,7825.5,10.25,7785.5,7865.5,2020-03-09 09:49:00-04:00,7865.5,target,39.5,78.0
2020-03-10,short,2020-03-10 09:45:00-04:00,8230.25,8164.25,66.0,8204.25,8124.25,2020-03-10 09:58:00-04:00,8204.25,stop,-40.5,-82.0
2020-03-11,short,2020-03-11 09:45:00-04:00,8205.0,8158.25,46.75,8198.25,8118.25,2020-03-11 10:05:00-04:00,8198.25,stop,-40.5,-82.0
2020-03-13,long,2020-03-13 09:45:00-04:00,7557.0,7557.0,0.0,7517.0,7597.0,2020-03-13 09:46:00-04:00,7517.0,stop,-40.5,-82.0
2020-03-25,short,2020-03-25 09:45:00-04:00,7637.75,7609.0,28.75,7649.0,7569.0,2020-03-25 09:47:00-04:00,7569.0,target,39.5,78.0
2020-03-26,short,2020-03-26 09:45:00-04:00,7624.25,7593.0,31.25,7633.0,7553.0,2020-03-26 09:50:00-04:00,7553.0,target,39.5,78.0
2020-03-27,short,2020-03-27 09:45:00-04:00,7679.5,7599.75,79.75,7639.75,7559.75,2020-03-27 09:58:00-04:00,7639.75,stop,-40.5,-82.0
2020-03-30,short,2020-03-30 09:45:00-04:00,7696.5,7660.5,36.0,7700.5,7620.5,2020-03-30 09:52:00-04:00,7700.5,stop,-40.5,-82.0
2020-03-31,short,2020-03-31 09:45:00-04:00,7861.75,7848.75,13.0,7888.75,7808.75,2020-03-31 09:52:00-04:00,7808.75,target,39.5,78.0
2020-04-01,short,2020-04-01 09:45:00-04:00,7626.5,7598.25,28.25,7638.25,7558.25,2020-04-01 10:33:00-04:00,7638.25,stop,-40.5,-82.0
2020-04-02,short,2020-04-02 09:45:00-04:00,7483.5,7440.75,42.75,7480.75,7400.75,2020-04-02 10:00:00-04:00,7480.75,stop,-40.5,-82.0
2020-04-03,short,2020-04-03 09:45:00-04:00,7637.0,7637.0,0.0,7677.0,7597.0,2020-04-03 10:16:00-04:00,7597.0,target,39.5,78.0
2020-04-06,long,2020-04-06 09:45:00-04:00,7752.5,7781.0,28.5,7741.0,7821.0,2020-04-06 09:50:00-04:00,7821.0,target,39.5,78.0
2020-04-07,long,2020-04-07 09:45:00-04:00,8214.25,8234.75,20.5,8194.75,8274.75,2020-04-07 09:55:00-04:00,8274.75,target,39.5,78.0
2020-04-09,short,2020-04-09 09:45:00-04:00,8310.75,8310.75,0.0,8350.75,8270.75,2020-04-09 10:05:00-04:00,8270.75,target,39.5,78.0
2020-04-13,short,2020-04-13 09:45:00-04:00,8236.25,8196.75,39.5,8236.75,8156.75,2020-04-13 10:25:00-04:00,8156.75,target,39.5,78.0
2020-04-14,long,2020-04-14 09:45:00-04:00,8466.75,8538.0,71.25,8498.0,8578.0,2020-04-14 09:55:00-04:00,8578.0,target,39.5,78.0
2020-04-16,short,2020-04-16 09:45:00-04:00,8686.25,8670.0,16.25,8710.0,8630.0,2020-04-16 10:02:00-04:00,8630.0,target,39.5,78.0
2020-04-23,long,2020-04-23 09:45:00-04:00,8693.25,8731.0,37.75,8691.0,8771.0,2020-04-23 10:33:00-04:00,8771.0,target,39.5,78.0
2020-04-29,long,2020-04-29 09:45:00-04:00,8853.25,8863.75,10.5,8823.75,8903.75,2020-04-29 10:16:00-04:00,8903.75,target,39.5,78.0
2020-04-30,short,2020-04-30 09:45:00-04:00,8997.5,8967.0,30.5,9007.0,8927.0,2020-04-30 09:57:00-04:00,9007.0,stop,-40.5,-82.0
2020-05-01,long,2020-05-01 09:45:00-04:00,8785.5,8810.25,24.75,8770.25,8850.25,2020-05-01 10:01:00-04:00,8850.25,target,39.5,78.0
2020-05-06,long,2020-05-06 09:45:00-04:00,9005.5,9009.0,3.5,8969.0,9049.0,2020-05-06 09:57:00-04:00,8969.0,stop,-40.5,-82.0
2020-05-11,long,2020-05-11 09:45:00-04:00,9173.0,9202.5,29.5,9162.5,9242.5,2020-05-11 10:06:00-04:00,9242.5,target,39.5,78.0
2020-05-13,short,2020-05-13 09:45:00-04:00,9114.0,9074.75,39.25,9114.75,9034.75,2020-05-13 09:54:00-04:00,9114.75,stop,-40.5,-82.0
2020-05-15,short,2020-05-15 09:45:00-04:00,8997.5,8997.5,0.0,9037.5,8957.5,2020-05-15 10:10:00-04:00,9037.5,stop,-40.5,-82.0
2020-05-27,short,2020-05-27 09:45:00-04:00,9367.5,9340.75,26.75,9380.75,9300.75,2020-05-27 09:48:00-04:00,9300.75,target,39.5,78.0
2020-06-02,long,2020-06-02 09:45:00-04:00,9582.75,9586.0,3.25,9546.0,9626.0,2020-06-02 10:49:00-04:00,9546.0,stop,-40.5,-82.0
2020-07-30,long,2020-07-30 09:45:00-04:00,10583.0,10586.25,3.25,10546.25,10626.25,2020-07-30 09:55:00-04:00,10546.25,stop,-40.5,-82.0
2020-09-11,long,2020-09-11 09:45:00-04:00,11208.75,11208.75,0.0,11168.75,11248.75,2020-09-11 09:48:00-04:00,11248.75,target,39.5,78.0
2020-09-14,long,2020-09-14 09:45:00-04:00,11208.75,11267.25,58.5,11227.25,11307.25,2020-09-14 10:02:00-04:00,11307.25,target,39.5,78.0
