adx_threshold,di_threshold,n_trades,win_rate,net_dollars,avg_trade_dollars,profit_factor,max_drawdown,sharpe_approx
15,3,837,0.5913978494623656,10548.666666666668,12.602947033054562,1.386163472127737,-840.5,2.5788008865878935
15,5,755,0.5933774834437087,9833.166666666668,13.024061810154526,1.4014752765292895,-874.5,2.666145345021992
15,8,602,0.6029900332225914,8767.916666666668,14.564645625692139,1.458367277590691,-1100.5,2.9854540829283365
15,12,427,0.6018735362997658,6046.666666666668,14.160811865729901,1.4428062295562174,-932.5,2.898483091307908
20,3,728,0.5989010989010989,10119.166666666668,13.899954212454213,1.4346798875982174,-691.0,2.8525585824544595
20,5,668,0.6032934131736527,9805.666666666668,14.679141716566868,1.4644685579401515,-687.0,3.0169544707865614
20,8,552,0.6123188405797102,8804.916666666668,15.950935990338166,1.5136583065547233,-854.5,3.282904399272769
20,12,405,0.6049382716049383,5930.666666666668,14.643621399176958,1.462057861112554,-768.5,3.002958185430404
25,3,516,0.5988372093023255,7015.416666666668,13.595768733850132,1.4227088312679508,-776.5,2.7854103496863556
25,5,492,0.6036585365853658,7042.916666666668,14.31487127371274,1.449787120808941,-840.0,2.935867307486325
25,8,431,0.6194895591647331,7169.666666666668,16.63495746326373,1.5415633301020988,-840.0,3.4292406806641957
25,12,347,0.6167146974063401,5651.166666666668,16.28578290105668,1.5283027687321795,-676.0,3.3568394808878277
30,3,359,0.6239554317548747,6178.166666666668,17.209377901578463,1.5693725520313342,-720.5,3.5650433364450826
30,5,352,0.6306818181818182,6457.666666666668,18.34564393939394,1.6185010775001998,-638.5,3.812938527828682
30,8,326,0.6441717791411042,6613.666666666668,20.287321063394685,1.7074322999304727,-590.0,4.2447104897336825
30,12,279,0.6379928315412187,5421.166666666668,19.430704898446837,1.667727300720547,-430.0,4.052957627028142
35,3,234,0.6239316239316239,4041.666666666668,17.272079772079778,1.5719609415538471,-336.0,3.575671584521484
35,5,234,0.6239316239316239,4041.666666666668,17.272079772079778,1.5719609415538471,-336.0,3.575671584521484
35,8,225,0.6266666666666667,3923.666666666668,17.438518518518524,1.5774910464602858,-336.0,3.60597323430317
35,12,203,0.625615763546798,3487.666666666668,17.180623973727428,1.5681781156665764,-278.0,3.5538513812882653
