session_date,side,entry_ts,entry_price,exit_ts,exit_price,pnl_dollars,cum_pnl,peak,drawdown,adx_value,plus_di,minus_di,di_spread,filter_decision,would_have_been_pnl,year
2020-02-18,Long,2020-02-18 09:45:00-05:00,9602.75,2020-02-18 11:30:00-05:00,9596.0,-15.5,-15.5,-15.5,0.0,26.945414199393365,25.56151835507136,18.624383235940094,6.937135119131266,SKIP_LOW_ADX,-15.5,2020
2020-02-21,Short,2020-02-21 09:45:00-05:00,9539.75,2020-02-21 09:49:00-05:00,9499.75,78.0,62.5,62.5,0.0,43.600744749134186,11.472373964645886,36.47603400091368,25.003660036267792,TAKE,,2020
2020-02-24,Long,2020-02-24 09:45:00-05:00,9177.5,2020-02-24 10:31:00-05:00,9137.5,-82.0,-19.5,62.5,-82.0,32.17653349849292,28.08216730456592,26.4440222188793,1.6381450856866202,SKIP_LOW_DI,-82.0,2020
2020-02-25,Short,2020-02-25 09:45:00-05:00,9122.25,2020-02-25 10:23:00-05:00,9082.25,78.0,58.5,62.5,-4.0,13.008675806225183,17.96554854431484,24.578159244780363,6.612610700465524,SKIP_LOW_ADX,78.0,2020
2020-02-26,Short,2020-02-26 09:45:00-05:00,8997.5,2020-02-26 09:51:00-05:00,8957.5,78.0,136.5,136.5,0.0,27.511330200883123,33.93421770865485,9.51657697238041,24.41764073627444,SKIP_LOW_ADX,78.0,2020
2020-02-27,Short,2020-02-27 09:45:00-05:00,8666.25,2020-02-27 09:46:00-05:00,8626.25,78.0,214.5,214.5,0.0,25.071253096738033,23.54775677599631,18.646882105757193,4.900874670239116,SKIP_LOW_ADX,78.0,2020
2020-02-28,Short,2020-02-28 09:45:00-05:00,8234.75,2020-02-28 09:48:00-05:00,8274.75,-82.0,132.5,214.5,-82.0,32.1358729959478,24.73954559442401,20.84663423156711,3.8929113628569,SKIP_LOW_DI,-82.0,2020
2020-03-03,Short,2020-03-03 09:45:00-05:00,8824.75,2020-03-03 09:52:00-05:00,8784.75,78.0,210.5,214.5,-4.0,21.87274539493607,17.159913438171802,22.945148791193876,5.785235353022074,SKIP_LOW_ADX,78.0,2020
2020-03-04,Short,2020-03-04 09:45:00-05:00,8721.0,2020-03-04 09:54:00-05:00,8681.0,78.0,288.5,288.5,0.0,22.81881800653485,13.276124628118867,23.046510045370372,9.770385417251505,SKIP_LOW_ADX,78.0,2020
2020-03-05,Short,2020-03-05 09:45:00-05:00,8768.0,2020-03-05 09:52:00-05:00,8728.0,78.0,366.5,366.5,0.0,27.560619236151812,25.917884744103084,14.2011221987687,11.716762545334383,SKIP_LOW_ADX,78.0,2020
2020-03-06,Short,2020-03-06 09:45:00-05:00,8426.214285714286,2020-03-06 09:50:00-05:00,8386.214285714286,78.0,444.5,444.5,0.0,32.58021050161315,26.451786796781505,13.202646119325742,13.249140677455763,SKIP_DIR_SHORT,78.0,2020
2020-03-09,Long,2020-03-09 09:49:00-04:00,7857.009615384615,2020-03-09 09:50:00-04:00,7817.009615384615,-82.0,362.5,444.5,-82.0,50.0181955301575,0.09569508532807024,90.4303948641825,90.33469977885443,SKIP_DIR_LONG,-82.0,2020
