gap,ms,gate,n_candidates,n_trades,win_rate,net_dollars,profit_factor,max_drawdown,sharpe_approx
2.0,2,inside_OR,1660,749,0.582109479305741,8251.0,1.3295259395343264,-1252.5,2.246470838385163
2.0,2,within_100,3822,1034,0.5802707930367504,11029.5,1.3210029249552526,-1105.5,2.18692125073491
2.0,2,within_200,7584,1240,0.5879032258064516,14550.0,1.360291204437401,-1012.0,2.4164339297517072
2.0,3,inside_OR,385,270,0.5666666666666667,2233.5,1.236888158243623,-926.0,1.672549841041589
2.0,3,within_100,851,467,0.5524625267665952,2913.5,1.1745603786585184,-1754.5,1.2632772491428266
2.0,3,within_200,1733,675,0.5674074074074074,5966.0,1.2574825748257483,-1327.0,1.8006427647220973
2.0,4,inside_OR,120,98,0.5408163265306123,413.0,1.1171797418073486,-516.5,0.8588934253277117
2.0,4,within_100,226,169,0.5325443786982249,610.5,1.0982458963630513,-512.0,0.7322125620877796
2.0,4,within_200,457,275,0.5563636363636364,2012.0,1.2111449260153218,-820.0,1.4967511277343195
3.0,2,inside_OR,2115,856,0.5689252336448598,7835.5,1.2660746727337555,-996.5,1.8595745405818869
3.0,2,within_100,4866,1125,0.5875555555555556,13089.0,1.3560034270327608,-1195.5,2.392610933189602
3.0,2,within_200,9632,1299,0.5873749037721324,15086.0,1.3564450010041702,-857.0,2.3934790337680347
3.0,3,inside_OR,629,398,0.5778894472361809,4149.5,1.3080892452760144,-738.0,2.1170524863548277
3.0,3,within_100,1447,672,0.5654761904761905,5494.0,1.2385791210700017,-1363.0,1.6737947905209902
3.0,3,within_200,2893,910,0.567032967032967,7749.0,1.248401211713228,-1379.5,1.7395573300752394
3.0,4,inside_OR,265,194,0.5515463917525774,1206.5,1.1750326418105324,-1076.5,1.2616886635697373
3.0,4,within_100,554,352,0.5653409090909091,2969.0,1.24376026272578,-645.5,1.7132025782810643
3.0,4,within_200,1108,520,0.5653846153846154,4221.5,1.2349977733244266,-922.5,1.6548442115608342
5.0,2,inside_OR,2414,970,0.5752577319587628,9869.916666666668,1.299809896037687,-1060.0,2.069052063129236
5.0,2,within_100,5581,1218,0.5894909688013136,14501.666666666668,1.3660665828035796,-1040.0,2.4509971028236173
