stop,target,n_trades,win_rate,net_dollars,profit_factor,max_drawdown_dollars
20,20,398,0.6130653266331658,2771.0,1.428416821273964,-568.0
20,30,398,0.4949748743718593,2993.0,1.357159904534606,-1029.5
20,40,398,0.40954773869346733,2783.0,1.2837479608482871,-1249.5
20,50,398,0.37185929648241206,3774.5,1.3616114198122247,-1208.0
20,60,398,0.3341708542713568,4044.0,1.365377665341525,-1048.0
30,20,398,0.7060301507537688,3391.0,1.4674662255307416,-728.0
30,30,398,0.5904522613065326,3561.5,1.3567207532051282,-1319.0
30,40,398,0.5100502512562815,3691.5,1.3084475267379678,-1321.0
30,50,398,0.4547738693467337,4086.5,1.3075215411822252,-1361.5
30,60,398,0.3944723618090452,3010.5,1.2043441371118275,-1399.5
40,20,398,0.7437185929648241,2927.5,1.3532428355957768,-886.0
40,30,398,0.6432160804020101,3315.0,1.2923667151739648,-911.5
40,40,398,0.5703517587939698,3665.0,1.2671964422410964,-800.5
40,50,398,0.5175879396984925,4189.5,1.2724878048780488,-988.0
40,60,398,0.45979899497487436,3181.5,1.1858189995035482,-991.5
50,20,398,0.7713567839195979,2447.5,1.2664525611017365,-1376.5
50,30,398,0.678391959798995,2903.5,1.2311335774558192,-1627.5
50,40,398,0.6130653266331658,3420.0,1.226310217046056,-1173.5
50,50,398,0.5603015075376885,3824.5,1.2227366704522291,-1394.5
50,60,398,0.5025125628140703,2676.5,1.1384134043543466,-1864.0
60,20,398,0.7914572864321608,2001.0,1.2013888888888888,-1459.0
60,30,398,0.7085427135678392,2843.0,1.2134624770056688,-1574.0
60,40,398,0.6432160804020101,3139.5,1.1932237813884785,-1208.5
60,50,398,0.592964824120603,3564.0,1.191772713820657,-1320.5
60,60,398,0.5376884422110553,2322.5,1.1103377832676136,-1873.5
