stop,target,n_trades,win_rate,net_dollars,profit_factor,max_drawdown_dollars
20,20,398,0.6130653266331658,2771.0,1.428416821273964,-568.0
20,25,398,0.5452261306532663,2806.5,1.3709112535518404,-745.5
20,30,398,0.4949748743718593,2993.0,1.357159904534606,-1029.5
20,35,398,0.457286432160804,3263.0,1.3621531631520534,-1219.5
20,40,398,0.40954773869346733,2783.0,1.2837479608482871,-1249.5
20,45,398,0.3844221105527638,3044.5,1.2976632772780603,-1238.0
20,50,398,0.37185929648241206,3774.5,1.3616114198122247,-1208.0
20,55,398,0.35678391959798994,4241.5,1.3967726847521047,-1198.0
20,60,398,0.3341708542713568,4044.0,1.365377665341525,-1048.0
25,20,398,0.6507537688442211,2581.0,1.3570835639180963,-758.0
25,25,398,0.585427135678392,2606.5,1.3054074638233053,-969.5
25,30,398,0.535175879396985,2763.0,1.2896833717760536,-1289.5
25,35,398,0.5,3163.0,1.3081044223650886,-1489.5
25,40,398,0.45979899497487436,3053.0,1.2750946116417372,-1379.5
25,45,398,0.4296482412060301,3134.5,1.2674031735198772,-1350.0
25,50,398,0.4120603015075377,3694.5,1.3056842627833858,-1278.0
25,55,398,0.3944723618090452,4061.0,1.3261847389558232,-1238.0
25,60,398,0.36683417085427134,3607.5,1.277756390514321,-1070.0
30,20,398,0.7060301507537688,3391.0,1.4674662255307416,-728.0
30,25,398,0.6381909547738693,3296.5,1.3723806834227619,-995.5
30,30,398,0.5904522613065326,3561.5,1.3567207532051282,-1319.0
30,35,398,0.5527638190954773,3901.5,1.3574766355140186,-1529.0
30,40,398,0.5100502512562815,3691.5,1.3084475267379678,-1321.0
30,45,398,0.4723618090452261,3436.5,1.2673382862032752,-1331.5
30,50,398,0.4547738693467337,4086.5,1.3075215411822252,-1361.5
30,55,398,0.4296482412060301,4033.0,1.2899665672071037,-1621.0
30,60,398,0.3944723618090452,3010.5,1.2043441371118275,-1399.5
35,20,398,0.7361809045226131,3607.5,1.481417228264496,-786.0
35,25,398,0.6708542713567839,3503.0,1.3778856526429342,-721.0
35,30,398,0.6206030150753769,3532.5,1.331581170507345,-962.5
35,35,398,0.585427135678392,3972.5,1.3406508596664237,-1130.5
35,40,398,0.5452261306532663,3862.5,1.3014398876185274,-1020.5
35,45,398,0.5050251256281407,3437.5,1.2470888441633123,-1073.5
35,50,398,0.4849246231155779,3967.5,1.2738473219215902,-1123.5
35,55,398,0.45979899497487436,3835.5,1.2522027880063125,-1247.0
35,60,398,0.4221105527638191,2658.5,1.1644246528744162,-1157.0
40,20,398,0.7437185929648241,2927.5,1.3532428355957768,-886.0
40,25,398,0.6834170854271356,2875.5,1.284900426037848,-760.0
40,30,398,0.6432160804020101,3315.0,1.2923667151739648,-911.5
40,35,398,0.6105527638190955,3845.0,1.3099681567173203,-940.5
40,40,398,0.5703517587939698,3665.0,1.2671964422410964,-800.5
40,45,398,0.5376884422110553,3629.5,1.2465860452476392,-954.5
40,50,398,0.5175879396984925,4189.5,1.2724878048780488,-988.0
40,55,398,0.49246231155778897,4067.5,1.2511577647422043,-1101.5
40,60,398,0.45979899497487436,3181.5,1.1858189995035482,-991.5
45,20,398,0.7562814070351759,2567.5,1.2905233380480905,-1066.5
45,25,398,0.6984924623115578,2495.5,1.2319022395688133,-1056.0
45,30,398,0.6633165829145728,3145.0,1.2626853205262059,-1257.5
45,35,398,0.635678391959799,3896.5,1.3000885671377411,-969.5
45,40,398,0.5954773869346733,3627.5,1.2514557049771247,-938.5
45,45,398,0.5603015075376885,3372.0,1.2155941306224225,-1070.5
