adx_threshold,di_threshold,n_trades,win_rate,net_dollars,avg_trade_dollars,profit_factor,max_drawdown,sharpe_approx
15,3,1119,0.6094727435210009,17267.166666666668,15.430890676198988,1.5050897532152228,-650.0,3.216161368145447
15,5,1009,0.6114965312190287,16032.166666666668,15.889164188965974,1.5249162364805136,-642.0,3.3183355394466902
15,8,787,0.6200762388818297,13481.666666666668,17.130453197797546,1.5740584348764097,-612.5,3.5764036554645875
15,12,546,0.6282051282051282,9886.166666666668,18.10653235653236,1.6121149579485063,-426.0,3.7761853374738426
20,3,965,0.6155440414507772,16135.166666666668,16.72037996545769,1.55939744486112,-646.0,3.4991188069009347
20,5,889,0.6197975253093363,15598.166666666668,17.545744281964755,1.5957174592464818,-560.0,3.682479530353468
20,8,721,0.624133148404993,13030.166666666668,18.072353213129915,1.6149544178144148,-550.5,3.7841538317059764
20,12,521,0.6295585412667947,9536.166666666668,18.303582853486887,1.6220253302168832,-441.5,3.8231204329537527
25,3,696,0.6135057471264368,11284.666666666668,16.21360153256705,1.5360037998733376,-560.0,3.380375575006459
25,5,665,0.6180451127819548,11246.166666666668,16.91152882205514,1.5660062407730506,-527.0,3.5336772687613913
25,8,577,0.6273830155979203,10436.166666666668,18.086943963027153,1.614965331657206,-578.0,3.784666286407091
25,12,454,0.6365638766519823,8637.666666666668,19.025697503671076,1.6549972195541178,-504.0,3.985358457558667
30,3,468,0.6431623931623932,9618.166666666668,20.55163817663818,1.7334367017017656,-418.0,4.349922194158617
30,5,457,0.649890590809628,9905.666666666668,21.675419401896427,1.7899360703890272,-418.0,4.608705693219611
30,8,413,0.6585956416464891,9324.166666666668,22.57667473769169,1.8314508218648755,-418.0,4.801745840081261
30,12,347,0.6570605187319885,7576.666666666668,21.834774255523538,1.789661102329379,-549.0,4.618329317386974
35,3,303,0.6501650165016502,6369.666666666668,21.022002200220026,1.7523524548210563,-500.0,4.441524932269446
35,5,301,0.6511627906976745,6373.666666666668,21.1749723145072,1.7601876515723773,-500.0,4.477251469275079
35,8,283,0.6466431095406361,5748.166666666668,20.31154299175501,1.7150498621275894,-500.0,4.2702658866626635
35,12,251,0.6533864541832669,5264.666666666668,20.974767596281545,1.7477865631362155,-500.0,4.4216959612559315
