period,rt_cost,n_trades,win_rate,net,PF,max_dd,Sharpe
overall,0.0,1394,0.6047345767575323,22961.166666666668,1.5464429072331785,-894.0,3.429906931808972
overall,2.0,1394,0.6040172166427547,20173.166666666668,1.4678179267269869,-964.0,3.013439394914792
overall,3.0,1394,0.603299856527977,18779.166666666668,1.429981758927822,-999.0,2.805205626467702
overall,4.0,1394,0.6018651362984218,17385.166666666668,1.3930820335610683,-1034.0,2.5969718580206123
year_2020,0.0,196,0.576530612244898,2581.5,1.420166015625,-894.0,2.732253677902659
year_2020,2.0,196,0.576530612244898,2189.5,1.3469889064976228,-964.0,2.3173617771713624
year_2020,3.0,196,0.576530612244898,1993.5,1.3118254340685125,-999.0,2.109915826805714
year_2020,4.0,196,0.5714285714285714,1797.5,1.2775633106856084,-1034.0,1.9024698764400658
year_2021,0.0,237,0.6160337552742616,4561.166666666668,1.720924106319644,-373.0,4.191453100480502
year_2021,2.0,237,0.6160337552742616,4087.166666666668,1.62794151537654,-415.0,3.75587402284077
year_2021,3.0,237,0.6160337552742616,3850.166666666668,1.5833733175080182,-436.0,3.5380844840209043
year_2021,4.0,237,0.6118143459915611,3613.166666666668,1.539977084786291,-467.5,3.3202949452010384
year_2022,0.0,223,0.5919282511210763,3103.5,1.430652882814126,-480.0,2.8292670720700985
year_2022,2.0,223,0.5919282511210763,2657.5,1.3596805846924274,-512.0,2.422676734018459
year_2022,3.0,223,0.5919282511210763,2434.5,1.3254896717695033,-528.0,2.2193815649926387
year_2022,4.0,223,0.5919282511210763,2211.5,1.2921207317878607,-544.0,2.016086395966819
year_2023,0.0,226,0.6238938053097345,4341.5,1.670294889609387,-575.5,4.036723548154863
year_2023,2.0,226,0.6238938053097345,3889.5,1.5851511960282834,-593.5,3.6164542762981315
year_2023,3.0,226,0.6238938053097345,3663.5,1.5441919191919191,-602.5,3.406319640369766
year_2023,4.0,226,0.6238938053097345,3437.5,1.504254070705589,-611.5,3.1961850044414004
year_2024,0.0,222,0.5900900900900901,2963.5,1.4194621372965321,-480.0,2.748704706609181
year_2024,2.0,222,0.5900900900900901,2519.5,1.3476611011453015,-520.0,2.336885948473707
year_2024,3.0,222,0.5900900900900901,2297.5,1.3130962115017717,-540.0,2.1309765694059704
year_2024,4.0,222,0.5900900900900901,2075.5,1.2793781128011845,-560.0,1.9250671903382335
year_2025,0.0,215,0.627906976744186,4210.0,1.6578125,-480.0,4.024784432839718
year_2025,2.0,215,0.6232558139534884,3780.0,1.5761755963722277,-504.0,3.6137019373240227
year_2025,3.0,215,0.6186046511627907,3565.0,1.5367359229147848,-516.0,3.4081606895661745
year_2025,4.0,215,0.6186046511627907,3350.0,1.4982153480071385,-528.0,3.202619441808327
year_2026,0.0,75,0.6,1200.0,1.5,-480.0,3.2186953878862163
year_2026,2.0,75,0.6,1050.0,1.4268292682926829,-496.0,2.816358464400439
year_2026,3.0,75,0.6,975.0,1.391566265060241,-504.0,2.6151900026575507
year_2026,4.0,75,0.6,900.0,1.3571428571428572,-512.0,2.414021540914662
