stop,target,model,slip_pts_per_side,trades,wr,net,pf
40,40,A,0.0,1394,0.6040172166427547,20173.166666666668,1.4678179267269869
40,40,A,0.25,1394,0.603299856527977,19178.666666666668,1.4391290078841121
40,40,A,0.5,1394,0.6018651362984218,18184.166666666668,1.4111475805205622
40,40,A,0.75,1394,0.599713055954089,17189.666666666668,1.3838321436811982
40,40,A,1.0,1394,0.5982783357245337,16195.166666666668,1.3571714750952926
40,40,B,0.0,1394,0.6040172166427547,20173.166666666668,1.4678179267269869
40,40,B,0.25,1394,0.603299856527977,18779.166666666668,1.429981758927822
40,40,B,0.5,1394,0.6018651362984218,17385.166666666668,1.3930820335610683
40,40,B,0.75,1394,0.599713055954089,15991.166666666668,1.357070552946343
40,40,B,1.0,1394,0.5982783357245337,14597.166666666668,1.321928860496146
40,20,A,0.0,1394,0.8106169296987088,21843.0,2.0485814411214056
40,20,A,0.25,1394,0.8106169296987088,21009.5,1.9959469068499645
40,20,A,0.5,1394,0.8106169296987088,20176.0,1.9446135118685333
40,20,A,0.75,1394,0.8091822094691535,19342.5,1.894492230854606
40,20,A,1.0,1394,0.8084648493543759,18509.0,1.8455459113750572
40,20,B,0.0,1394,0.8106169296987088,21843.0,2.0485814411214056
40,20,B,0.25,1394,0.8106169296987088,20449.0,1.9693766295330648
40,20,B,0.5,1394,0.8106169296987088,19055.0,1.892129781356805
40,20,B,0.75,1394,0.8091822094691535,17661.0,1.81673140954495
40,20,B,1.0,1394,0.8084648493543759,16267.0,1.7431247144814983
30,20,A,0.0,1394,0.772596843615495,21410.0,2.1122077922077924
30,20,A,0.25,1394,0.772596843615495,20550.0,2.0502376450145654
30,20,A,0.5,1394,0.772596843615495,19690.0,1.9902434117883725
30,20,A,0.75,1394,0.7711621233859397,18830.0,1.932085932085932
30,20,A,1.0,1394,0.7704447632711621,17970.0,1.875688319282686
30,20,B,0.0,1394,0.772596843615495,21410.0,2.1122077922077924
30,20,B,0.25,1394,0.772596843615495,20016.0,2.02294679818061
30,20,B,0.5,1394,0.772596843615495,18622.0,1.9365318849326092
30,20,B,0.75,1394,0.7711621233859397,17228.0,1.8527868527868527
30,20,B,1.0,1394,0.7704447632711621,15834.0,1.7715998245699527
20,20,A,0.0,1394,0.6915351506456241,18443.0,2.026978867945541
20,20,A,0.25,1394,0.6915351506456241,17527.0,1.953150066617723
20,20,A,0.5,1394,0.6915351506456241,16611.0,1.8826952201291283
20,20,A,0.75,1394,0.6908177905308465,15695.0,1.8153670320536133
20,20,A,1.0,1394,0.6901004304160688,14779.0,1.7509654471544716
20,20,B,0.0,1394,0.6915351506456241,18443.0,2.026978867945541
20,20,B,0.25,1394,0.6915351506456241,17049.0,1.92715555918101
20,20,B,0.5,1394,0.6915351506456241,15655.0,1.831894146717326
20,20,B,0.75,1394,0.6908177905308465,14261.0,1.7408696555665228
20,20,B,1.0,1394,0.6901004304160688,12867.0,1.653810975609756
