cell,stop,target,period,trades,wr,net,pf,sharpe,max_dd,year
40/40,40,40,full,1394,0.6018651362984218,18184.166666666668,1.4111475805205622,2.69939640888951,-1024.0,
40/40,40,40,train,656,0.5929878048780488,7988.166666666668,1.3851977464698177,2.537361484947206,-1024.0,
40/40,40,40,test,626,0.610223642172524,8574.5,1.4314105305526905,2.8215202760443505,-611.5,
40/40,40,40,holdout,112,0.6071428571428571,1621.5,1.4486097662193942,2.9296460124617747,-511.0,
40/20,40,20,full,1394,0.8106169296987088,20176.0,1.9446135118685333,4.932967136114249,-530.0,
40/20,40,20,train,656,0.7987804878048781,8571.0,1.8086230482569932,4.3689512552473735,-530.0,
40/20,40,20,test,626,0.8226837060702875,9920.5,2.092927178583232,5.510076164269746,-393.0,
40/20,40,20,holdout,112,0.8125,1684.5,2.001188707280832,5.130675624046295,-346.0,
30/20,30,20,full,1394,0.772596843615495,19690.0,1.9902434117883725,5.345728977171701,-455.0,
30/20,30,20,train,656,0.7652439024390244,8676.0,1.896234698620939,4.946905390774865,-455.0,
30/20,30,20,test,626,0.7811501597444089,9434.5,2.096907336356238,5.776729829342235,-428.0,
30/20,30,20,holdout,112,0.7678571428571429,1579.5,1.9856474258970358,5.302477101569129,-256.0,
20/20,20,20,full,1394,0.6915351506456241,16611.0,1.8826952201291283,5.070787442458119,-424.0,
20/20,20,20,train,656,0.6905487804878049,7704.5,1.8680637710551518,4.99721671722338,-424.0,
20/20,20,20,test,626,0.6980830670926518,7799.0,1.9382255639097745,5.318860642258596,-299.0,
20/20,20,20,holdout,112,0.6607142857142857,1107.5,1.6792394970867832,4.10903217876754,-239.0,
40/40,40,40,year_2020,196,0.5714285714285714,1904.5,1.2940858554663373,2.0031709383038794,-1024.0,2020.0
40/40,40,40,year_2021,237,0.6118143459915611,3744.166666666668,1.5595546478031288,3.4189632496155498,-453.0,2021.0
40/40,40,40,year_2022,223,0.5919282511210763,2339.5,1.3090284657552342,2.1195300742314194,-539.0,2022.0
40/40,40,40,year_2023,226,0.6238938053097345,3570.5,1.5237641191139797,3.299071040034787,-611.5,2023.0
40/40,40,40,year_2024,222,0.5900900900900901,2198.5,1.295934849912505,2.0265014185257875,-553.0,2024.0
40/40,40,40,year_2025,215,0.6186046511627907,3482.0,1.517846519928614,3.3081420867962703,-525.0,2025.0
40/40,40,40,year_2026,75,0.6,945.0,1.375,2.5189789992153,-511.0,2026.0
40/20,40,20,year_2020,196,0.7602040816326531,1726.0,1.4638538027411987,2.780945300650644,-530.0,2020.0
40/20,40,20,year_2021,237,0.8059071729957806,3377.5,1.9375433726578766,4.87762900105095,-272.5,2021.0
40/20,40,20,year_2022,223,0.8251121076233184,3467.5,2.0584554334554332,5.361740623382398,-262.0,2022.0
40/20,40,20,year_2023,226,0.8185840707964602,3523.0,2.0791851738397917,5.436329421498657,-270.0,2023.0
40/20,40,20,year_2024,222,0.8018018018018018,2957.5,1.8150750999035414,4.41115663163896,-376.0,2024.0
40/20,40,20,year_2025,215,0.8372093023255814,3801.5,2.329893300682176,6.342454895253479,-393.0,2025.0
40/20,40,20,year_2026,75,0.84,1323.0,2.3125,6.270455277298839,-346.0,2026.0
30/20,30,20,year_2020,196,0.7244897959183674,1818.5,1.5396943166641934,3.2987770308396906,-455.0,2020.0
30/20,30,20,year_2021,237,0.7721518987341772,3317.0,1.9851499851499852,5.301761771318024,-258.0,2021.0
30/20,30,20,year_2022,223,0.7937219730941704,3540.5,2.2026154891304346,6.15809322663487,-246.0,2022.0
30/20,30,20,year_2023,226,0.7831858407079646,3475.0,2.1519973479197745,5.9627917152175005,-256.0,2023.0
30/20,30,20,year_2024,222,0.7432432432432432,2504.5,1.6955978336342175,4.072948045233467,-428.0,2024.0
30/20,30,20,year_2025,215,0.8,3673.5,2.3653595985876232,6.75775570953528,-283.0,2025.0
30/20,30,20,year_2026,75,0.8133333333333334,1361.0,2.5189732142857144,7.270986103951783,-256.0,2026.0
20/20,20,20,year_2020,196,0.6530612244897959,1696.5,1.570539767950227,3.574039403351249,-359.0,2020.0
20/20,20,20,year_2021,237,0.6919831223628692,2807.0,1.8843730308758664,5.051586387566484,-277.0,2021.0
20/20,20,20,year_2022,223,0.7219730941704036,3201.0,2.1733870967741935,6.270062540978729,-197.0,2022.0
20/20,20,20,year_2023,226,0.6858407079646017,2557.0,1.8194199647492388,4.7786659946265315,-283.0,2023.0
20/20,20,20,year_2024,222,0.6846846846846847,2544.0,1.825974025974026,4.822599470491749,-299.0,2024.0
20/20,20,20,year_2025,215,0.7069767441860465,2893.5,2.059696026368797,5.811713678786292,-241.0,2025.0
20/20,20,20,year_2026,75,0.6933333333333334,912.0,1.901185770750988,5.1336910415177455,-234.0,2026.0
